Home,Away,Hscore,Ascore
琉球,A東京,63,62
宇都宮,群馬,69,75
広島,北海道,83,75
琉球,A東京,82,75
秋田,茨城,84,63
新潟,京都,81,85
大阪,三河,70,67
滋賀,三遠,93,83
SR渋谷,名古屋D,80,77
川崎,横浜,82,64
富山,信州,71,72
宇都宮,群馬,81,86
島根,千葉,100,94
広島,北海道,85,82
富山,信州,41,55
秋田,茨城,83,57
島根,千葉,74,81
滋賀,三遠,96,101
SR渋谷,名古屋D,93,88
新潟,京都,76,75
大阪,三河,72,90
川崎,横浜,90,73
宇都宮,川崎,77,68
信州,横浜,75,84
群馬,千葉,74,103
A東京,富山,96,71
三河,琉球,78,90
名古屋D,広島,90,98
滋賀,茨城,93,88
三遠,新潟,64,77
京都,大阪,68,67
宇都宮,川崎,76,78
島根,北海道,87,84
SR渋谷,秋田,94,83
島根,北海道,94,79
三遠,新潟,85,82
京都,大阪,74,75
滋賀,茨城,85,77
群馬,千葉,81,97
A東京,富山,114,81
SR渋谷,秋田,60,92
信州,横浜,66,70
三河,琉球,69,52
名古屋D,広島,87,77
琉球,川崎,105,86
広島,三遠,76,67
北海道,新潟,88,75
茨城,宇都宮,66,88
琉球,川崎,69,73
群馬,三河,87,89
A東京,信州,65,58
横浜,SR渋谷,77,89
千葉,秋田,92,68
大阪,島根,77,88
富山,名古屋D,68,94
京都,滋賀,83,84
富山,名古屋D,74,99
広島,三遠,84,72
北海道,新潟,72,69
横浜,SR渋谷,80,73
京都,滋賀,72,95
群馬,三河,96,98
A東京,信州,86,74
千葉,秋田,90,73
大阪,島根,92,77
茨城,宇都宮,69,84
新潟,三河,58,81
茨城,三遠,95,79
横浜,島根,83,80
名古屋D,滋賀,107,68
広島,京都,85,70
千葉,A東京,65,72
大阪,信州,82,85
新潟,三河,75,77
秋田,群馬,88,82
川崎,北海道,85,73
富山,琉球,88,95
SR渋谷,宇都宮,76,63
富山,琉球,80,83
秋田,群馬,83,100
茨城,三遠,66,83
横浜,島根,89,95
SR渋谷,宇都宮,74,96
名古屋D,滋賀,79,110
広島,京都,85,77
千葉,A東京,88,71
川崎,北海道,63,69
大阪,信州,79,95
琉球,広島,84,54
秋田,横浜,63,70
群馬,SR渋谷,85,92
A東京,新潟,79,78
富山,大阪,82,67
信州,北海道,87,84
三遠,名古屋D,70,98
三河,茨城,81,71
滋賀,川崎,74,91
宇都宮,千葉,100,75
島根,京都,100,66
北海道,宇都宮,70,93
群馬,名古屋D,101,92
千葉,滋賀,99,88
A東京,京都,102,80
横浜,三河,63,67
信州,秋田,76,51
大阪,茨城,90,72
新潟,琉球,75,86
川崎,富山,91,87
広島,島根,81,102
SR渋谷,三遠,70,64
広島,島根,109,113
北海道,宇都宮,71,63
横浜,三河,79,67
群馬,名古屋D,90,100
千葉,滋賀,89,83
A東京,京都,84,57
